iter	Passed	Remaining
0	117	117004
1	118	59119
2	120	39998
3	121	30329
4	123	24502
5	124	20577
6	125	17732
7	125	15608
8	126	13957
9	127	12646
10	128	11554
11	129	10645
12	130	9895
13	131	9241
14	131	8664
15	132	8168
16	133	7739
17	134	7358
18	135	7009
19	136	6694
20	137	6418
21	138	6162
22	139	5932
23	140	5726
24	141	5536
25	143	5375
26	144	5209
27	145	5047
28	146	4892
29	147	4753
30	148	4631
31	149	4513
32	150	4399
33	150	4289
34	151	4183
35	152	4087
36	153	3995
37	154	3911
38	155	3829
39	156	3751
40	157	3683
41	158	3616
42	159	3545
43	159	3474
44	160	3409
45	161	3352
46	162	3300
47	163	3248
48	164	3196
49	165	3145
50	166	3097
51	167	3054
52	168	3011
53	169	2973
54	170	2933
55	172	2902
56	173	2869
57	174	2830
58	175	2792
59	176	2761
60	177	2732
61	179	2709
62	179	2677
63	181	2649
64	182	2619
65	183	2594
66	184	2572
67	185	2545
68	186	2520
69	188	2500
70	189	2478
71	190	2456
72	191	2435
73	192	2415
74	194	2395
75	195	2375
76	196	2353
77	197	2333
78	198	2315
79	199	2298
80	200	2279
81	202	2264
82	203	2242
83	204	2226
84	206	2220
85	207	2202
86	208	2188
87	209	2174
88	211	2160
89	212	2145
90	213	2137
91	215	2126
92	216	2113
93	218	2102
94	219	2091
95	221	2081
96	222	2069
97	223	2056
98	224	2044
99	225	2032
100	226	2019
101	228	2009
102	229	1999
103	230	1989
104	232	1979
105	233	1969
106	235	1962
107	236	1953
108	237	1943
109	238	1932
110	240	1924
111	241	1912
112	242	1904
113	243	1895
114	244	1884
115	246	1874
116	246	1862
117	247	1852
118	248	1842
119	250	1833
120	251	1825
121	252	1814
122	253	1804
123	254	1794
124	255	1785
125	256	1777
126	257	1768
127	258	1761
128	259	1753
129	260	1745
130	262	1739
131	263	1732
132	264	1725
133	266	1720
134	267	1713
135	268	1706
136	270	1701
137	271	1693
138	272	1691
139	274	1685
140	275	1679
141	276	1671
142	278	1667
143	279	1663
144	281	1660
145	282	1654
146	284	1648
147	285	1642
148	286	1637
149	288	1633
150	289	1627
151	291	1623
152	292	1618
153	293	1614
154	295	1608
155	296	1603
156	297	1597
157	298	1591
158	299	1585
159	300	1579
160	301	1573
161	303	1568
162	304	1564
163	305	1559
164	307	1555
165	309	1553
166	310	1548
167	311	1543
168	312	1537
169	314	1534
170	315	1528
171	316	1522
172	317	1518
173	318	1512
174	319	1506
175	320	1501
176	321	1496
177	323	1493
178	324	1488
179	325	1483
180	326	1478
181	327	1473
182	328	1467
183	329	1461
184	330	1456
185	331	1450
186	332	1444
187	333	1439
188	334	1433
189	334	1428
190	335	1422
191	336	1416
192	337	1411
193	338	1407
194	339	1403
195	340	1397
196	341	1392
197	342	1387
198	343	1382
199	344	1376
200	345	1371
201	345	1366
202	346	1361
203	347	1356
204	348	1351
205	349	1345
206	350	1340
207	350	1335
208	351	1331
209	352	1327
210	353	1323
211	354	1319
212	355	1314
213	356	1309
214	357	1305
215	358	1300
216	359	1296
217	360	1291
218	360	1286
219	361	1281
220	362	1277
221	363	1272
222	364	1268
223	364	1264
224	365	1260
225	366	1255
226	367	1252
227	368	1248
228	369	1245
229	370	1241
230	371	1237
231	372	1234
232	373	1230
233	375	1228
234	376	1224
235	377	1220
236	378	1216
237	378	1212
238	379	1207
239	379	1203
240	380	1198
241	381	1194
242	382	1192
243	383	1189
244	385	1186
245	385	1182
246	386	1178
247	387	1175
248	388	1172
249	389	1168
250	390	1164
251	391	1161
252	392	1157
253	392	1153
254	393	1150
255	394	1146
256	395	1143
257	396	1140
258	397	1138
259	398	1135
260	399	1132
261	400	1128
262	401	1124
263	401	1120
264	402	1116
265	403	1112
266	403	1109
267	404	1105
268	405	1101
269	405	1097
270	406	1093
271	407	1090
272	408	1086
273	408	1083
274	409	1079
275	410	1075
276	410	1072
277	411	1069
278	412	1066
279	413	1063
280	414	1060
281	415	1057
282	416	1054
283	416	1051
284	417	1048
285	418	1045
286	419	1042
287	420	1038
288	420	1035
289	421	1032
290	422	1029
291	423	1026
292	423	1022
293	424	1019
294	425	1016
295	425	1012
296	426	1010
297	427	1007
298	428	1005
299	429	1002
300	430	999
301	431	996
302	431	993
303	432	989
304	433	986
305	433	983
306	434	980
307	435	977
308	435	974
309	436	971
310	437	968
311	437	965
312	438	962
313	439	959
314	439	956
315	440	953
316	441	951
317	442	949
318	443	946
319	444	944
320	444	941
321	445	938
322	446	935
323	447	932
324	447	929
325	448	927
326	449	924
327	449	921
328	450	918
329	451	915
330	451	913
331	452	910
332	453	907
333	453	905
334	454	903
335	455	900
336	456	898
337	457	896
338	458	893
339	459	891
340	459	888
341	460	886
342	461	883
343	461	880
344	462	878
345	463	875
346	463	873
347	464	870
348	465	867
349	465	865
350	466	862
351	467	860
352	468	857
353	468	855
354	469	852
355	470	850
356	471	848
357	472	846
358	473	844
359	473	842
360	474	840
361	475	837
362	475	835
363	476	832
364	477	830
365	477	827
366	478	825
367	479	823
368	480	820
369	480	818
370	481	816
371	482	813
372	482	811
373	483	809
374	484	806
375	484	804
376	485	802
377	486	800
378	487	798
379	488	797
380	489	795
381	490	793
382	491	791
383	492	790
384	493	788
385	494	786
386	495	784
387	496	783
388	497	781
389	498	779
390	499	777
391	500	775
392	501	774
393	502	772
394	503	770
395	504	768
396	505	767
397	506	765
398	507	763
399	508	762
400	508	760
401	509	758
402	511	757
403	512	755
404	512	753
405	513	751
406	514	749
407	515	748
408	516	746
409	517	744
410	518	742
411	519	740
412	519	739
413	520	737
414	521	735
415	522	733
416	523	732
417	524	730
418	525	728
419	526	726
420	527	725
421	528	723
422	528	721
423	530	720
424	531	718
425	532	717
426	533	715
427	534	714
428	535	712
429	535	710
430	536	708
431	537	707
432	539	706
433	540	704
434	541	702
435	542	701
436	543	699
437	544	698
438	545	696
439	546	695
440	547	693
441	548	692
442	549	690
443	550	689
444	552	689
445	553	687
446	555	687
447	557	686
448	558	685
449	560	684
450	560	682
451	562	681
452	563	679
453	564	678
454	565	677
455	566	675
456	567	674
457	569	673
458	570	672
459	572	671
460	574	671
461	575	670
462	577	669
463	578	668
464	579	666
465	580	665
466	582	664
467	583	663
468	584	662
469	585	660
470	587	659
471	589	658
472	590	657
473	591	656
474	592	654
475	593	653
476	595	652
477	596	651
478	598	650
479	599	649
480	601	648
481	602	647
482	604	646
483	605	645
484	606	644
485	607	642
486	609	641
487	610	640
488	611	639
489	613	638
490	614	637
491	615	635
492	617	634
493	619	634
494	621	633
495	622	632
496	624	631
497	625	630
498	626	629
499	627	627
500	628	626
501	629	624
502	630	623
503	632	622
504	635	622
505	636	621
506	637	620
507	639	619
508	640	617
509	641	616
510	643	615
511	644	613
512	645	612
513	646	611
514	648	610
515	649	609
516	650	608
517	652	607
518	653	605
519	654	604
520	656	603
521	657	601
522	658	600
523	659	598
524	660	597
525	660	595
526	663	595
527	664	594
528	666	593
529	667	591
530	668	590
531	669	589
532	670	587
533	671	586
534	672	584
535	673	583
536	674	581
537	675	580
538	677	579
539	679	578
540	680	577
541	681	576
542	682	574
543	683	573
544	684	571
545	685	570
546	686	568
547	687	566
548	688	565
549	688	563
550	689	561
551	690	560
552	690	558
553	692	557
554	693	555
555	694	554
556	695	553
557	696	551
558	697	549
559	698	548
560	698	546
561	699	545
562	700	543
563	701	541
564	701	540
565	702	538
566	703	536
567	703	535
568	704	533
569	705	531
570	706	530
571	707	529
572	708	528
573	710	527
574	711	525
575	711	524
576	712	522
577	713	521
578	714	519
579	715	518
580	716	516
581	716	514
582	717	513
583	718	511
584	719	510
585	719	508
586	720	506
587	721	505
588	722	504
589	723	503
590	725	501
591	725	500
592	726	498
593	728	497
594	729	496
595	730	495
596	731	493
597	732	492
598	733	491
599	734	489
600	734	487
601	736	486
602	737	485
603	738	483
604	739	482
605	740	481
606	741	479
607	742	478
608	743	477
609	745	476
610	745	474
611	746	473
612	747	471
613	748	470
614	748	468
615	749	467
616	750	465
617	751	464
618	753	463
619	754	462
620	755	460
621	756	459
622	757	458
623	758	457
624	759	455
625	760	454
626	761	453
627	763	451
628	764	450
629	765	449
630	766	448
631	767	447
632	769	446
633	770	444
634	771	443
635	772	442
636	773	440
637	774	439
638	775	437
639	775	436
640	776	434
641	777	433
642	777	431
643	778	430
644	780	429
645	781	428
646	782	426
647	783	425
648	784	424
649	785	422
650	786	421
651	786	420
652	787	418
653	788	417
654	789	415
655	790	414
656	791	413
657	791	411
658	792	410
659	793	408
660	794	407
661	795	406
662	796	405
663	797	403
664	798	402
665	799	401
666	800	399
667	801	398
668	802	396
669	803	395
670	803	394
671	804	392
672	804	391
673	805	389
674	806	388
675	807	386
676	807	385
677	808	384
678	809	382
679	811	381
680	812	380
681	813	379
682	814	377
683	814	376
684	815	375
685	816	373
686	817	372
687	818	371
688	818	369
689	819	368
690	820	366
691	820	365
692	821	363
693	822	362
694	823	361
695	824	360
696	825	358
697	826	357
698	828	356
699	828	355
700	829	353
701	830	352
702	831	351
703	832	349
704	833	348
705	833	347
706	834	345
707	835	344
708	835	343
709	836	341
710	837	340
711	837	338
712	838	337
713	840	336
714	841	335
715	842	334
716	843	332
717	844	331
718	845	330
719	846	329
720	847	327
721	847	326
722	848	325
723	849	323
724	849	322
725	850	320
726	851	319
727	851	318
728	852	316
729	854	315
730	855	314
731	856	313
732	857	312
733	858	311
734	859	309
735	860	308
736	860	307
737	861	305
738	862	304
739	863	303
740	863	301
741	864	300
742	865	299
743	865	297
744	866	296
745	867	295
746	868	294
747	869	293
748	871	291
749	872	290
750	873	289
751	873	288
752	875	287
753	875	285
754	876	284
755	877	283
756	878	281
757	878	280
758	879	279
759	880	277
760	880	276
761	881	275
762	882	274
763	883	273
764	885	271
765	886	270
766	887	269
767	888	268
768	889	267
769	890	265
770	891	264
771	891	263
772	892	262
773	893	260
774	893	259
775	894	258
776	895	256
777	895	255
778	896	254
779	897	253
780	898	252
781	900	250
782	901	249
783	902	248
784	903	247
785	904	246
786	905	244
787	906	243
788	907	242
789	908	241
790	908	240
791	909	238
792	910	237
793	912	236
794	913	235
795	914	234
796	915	233
797	916	232
798	917	230
799	918	229
800	919	228
801	920	227
802	921	226
803	922	224
804	923	223
805	924	222
806	925	221
807	927	220
808	929	219
809	930	218
810	931	217
811	932	215
812	933	214
813	934	213
814	935	212
815	936	211
816	936	209
817	937	208
818	938	207
819	938	206
820	939	204
821	940	203
822	941	202
823	942	201
824	944	200
825	945	199
826	946	197
827	947	196
828	947	195
829	948	194
830	949	193
831	949	191
832	950	190
833	951	189
834	952	188
835	952	186
836	953	185
837	954	184
838	954	183
839	955	182
840	956	180
841	957	179
842	958	178
843	959	177
844	960	176
845	961	174
846	961	173
847	962	172
848	963	171
849	964	170
850	964	168
851	965	167
852	966	166
853	967	165
854	967	164
855	968	162
856	969	161
857	969	160
858	970	159
859	972	158
860	973	157
861	973	155
862	974	154
863	975	153
864	976	152
865	977	151
866	977	149
867	978	148
868	979	147
869	979	146
870	980	145
871	981	144
872	981	142
873	982	141
874	983	140
875	983	139
876	984	138
877	985	136
878	986	135
879	987	134
880	988	133
881	989	132
882	991	131
883	993	130
884	994	129
885	996	128
886	997	127
887	998	125
888	999	124
889	1001	123
890	1002	122
891	1003	121
892	1004	120
893	1005	119
894	1006	118
895	1007	116
896	1009	115
897	1010	114
898	1011	113
899	1012	112
900	1013	111
901	1014	110
902	1015	109
903	1017	108
904	1018	106
905	1019	105
906	1020	104
907	1021	103
908	1023	102
909	1024	101
910	1025	100
911	1026	99
912	1028	98
913	1029	96
914	1031	95
915	1032	94
916	1033	93
917	1034	92
918	1035	91
919	1036	90
920	1037	88
921	1039	87
922	1040	86
923	1041	85
924	1042	84
925	1043	83
926	1044	82
927	1045	81
928	1047	80
929	1048	78
930	1049	77
931	1050	76
932	1052	75
933	1054	74
934	1055	73
935	1056	72
936	1057	71
937	1058	69
938	1059	68
939	1061	67
940	1062	66
941	1063	65
942	1064	64
943	1065	63
944	1066	62
945	1067	60
946	1068	59
947	1070	58
948	1071	57
949	1072	56
950	1073	55
951	1074	54
952	1076	53
953	1077	51
954	1078	50
955	1079	49
956	1080	48
957	1081	47
958	1083	46
959	1084	45
960	1085	44
961	1087	42
962	1088	41
963	1089	40
964	1090	39
965	1091	38
966	1092	37
967	1093	36
968	1094	35
969	1095	33
970	1096	32
971	1098	31
972	1099	30
973	1100	29
974	1101	28
975	1103	27
976	1104	25
977	1105	24
978	1107	23
979	1107	22
980	1108	21
981	1109	20
982	1110	19
983	1112	18
984	1113	16
985	1115	15
986	1116	14
987	1117	13
988	1118	12
989	1119	11
990	1120	10
991	1121	9
992	1122	7
993	1123	6
994	1124	5
995	1126	4
996	1128	3
997	1129	2
998	1130	1
999	1131	0
